https://fundamenta.hu/documents/10182/2114095/1. Hatályos Díjtáblázat/22758057-b69e-c74a-b40a-69af4e5edb77?t=1610982019632;1. Hatályos Díjtáblázat;./melléklet
https://fundamenta.hu/documents/10182/2114095/2. Hatályos Üzletszabályzat/00df75ea-87ed-8ced-0956-a93a20874921?t=1610982019632;2. Hatályos Üzletszabályzat;./melléklet
https://fundamenta.hu/documents/10182/2114095/3. Üzletszabályzat 3-17. és 20-21 sz. mellékletei 2020.12.15-től/ed1e2202-da37-7fa9-cd01-eed18e6fb97c?t=1610982019632;3. Üzletszabályzat 3-17. és 20-21 sz. mellékletei 2020.12.15-től;./melléklet
https://fundamenta.hu/documents/10182/2114095/4. Üzletszabályzat hirdetménye 2020.12.15-től/3f62d92d-931a-6242-a711-84790ce46abe?t=1610982019632;4. Üzletszabályzat hirdetménye 2020.12.15-től;./melléklet
https://fundamenta.hu/documents/10182/2114095/5. A 2020.12.15-től hatályos Üzletszabályzat és korábbi Általános Szerződési Feltételek közötti fordítótábla/fa97365c-e4a8-439e-23c2-96fecb039a3a?t=1610982019632;5. A 2020.12.15-től hatályos Üzletszabályzat és korábbi Általános Szerződési Feltételek közötti fordítótábla;./
https://fundamenta.hu/documents/10182/2114095/6. Áthidaló- és Lakáskölcsön Szerződés Általános Feltételek 2020.10.20-tól/215b3a6b-d35d-9da5-42c1-82765ac56a5e?t=1610982019632;6. Áthidaló- és Lakáskölcsön Szerződés Általános Feltételek 2020.10.20-tól;./
https://fundamenta.hu/documents/10182/2114120/Fundamenta akciós hirdetmény 2020.12.15-től visszavonásig/622c572f-8c03-4e82-d79c-934ad5336f64?t=1610982019669;Fundamenta akciós hirdetmény 2020.12.15-től visszavonásig;./
https://fundamenta.hu/documents/10182/2114132/A módozat szerinti megtakarítási időt meghaladó szerződésekre alkalmazott betéti kamat hirdetmény 2020.10.20-tól /a4da5bae-79ae-6fca-69f7-20a74f3c7f0f?t=1610982019709;A módozat szerinti megtakarítási időt meghaladó szerződésekre alkalmazott betéti kamat hirdetmény 2020.10.20-tól;./
